SOURCESERVER|BACKUPFILE|SOURCEDB|DESTSERVER|DATAFOLDER|LOGFOLDER|DESTDB|ACTIONS|ENABLED
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser\ZZZ_Deleteme_1.bak|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_1|RESTORE_DATABASE_FULL_WITH_RECOVERY|N
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_1|RESTORE_DATABASE_FULL_WITH_RECOVERY|N
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_2|RESTORE_DATABASE_FULL_WITH_RECOVERY|N
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_3|RESTORE_DATABASE_FULL_WITH_RECOVERY|N
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_4|RESTORE_DATABASE_FULL_WITH_NORECOVERY|N
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_5|RESTORE_DATABASE_FULL_WITH_RECOVERY|N
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_4|RESTORE_LOGS_WITH_NORECOVERY|N
CCLDEVSQL4\DEVSQL2|\\Ccldevsql4\devsql2\SQLBACKUPS\SQLBackupUser|ZZZ_Deleteme_1|CCLDEVSQL4\DEVSQL2|E:\DEVSQL2\SQLDATA|F:\DEVSQL2\SQLLOGS|ZZZ_Deleteme_4|RESTORE_LOGS_WITH_RECOVERY|Y


